,ARCFILE,INSTRUME,DATE-OBS,EXPTIME,HIERARCH ESO DPR CATG,HIERARCH ESO INS SLIT1 NAME,HIERARCH ESO INS FILT1 NAME,HIERARCH ESO INS GRIS1 NAME
0,EFOSC.2016-07-27T00:17:06.902.fits,EFOSC,2016-07-27T00:17:06.901,200.0017,SCIENCE,Free,B#639,Free
1,EFOSC.2016-07-27T00:21:07.523.fits,EFOSC,2016-07-27T00:21:07.522,200.0017,SCIENCE,Free,B#639,Free
2,EFOSC.2016-07-27T00:25:07.984.fits,EFOSC,2016-07-27T00:25:07.983,200.0017,SCIENCE,Free,B#639,Free
3,EFOSC.2016-07-27T00:29:08.975.fits,EFOSC,2016-07-27T00:29:08.974,200.0017,SCIENCE,Free,B#639,Free
4,EFOSC.2016-07-27T00:33:27.563.fits,EFOSC,2016-07-27T00:33:27.562,200.0029,SCIENCE,Free,V#641,Free
5,EFOSC.2016-07-27T00:37:26.893.fits,EFOSC,2016-07-27T00:37:26.893,200.0017,SCIENCE,Free,V#641,Free
6,EFOSC.2016-07-27T00:41:40.840.fits,EFOSC,2016-07-27T00:41:40.840,200.0017,SCIENCE,Free,g#782,Free
7,EFOSC.2016-07-27T00:45:41.091.fits,EFOSC,2016-07-27T00:45:41.090,200.0017,SCIENCE,Free,g#782,Free
8,EFOSC.2016-07-27T00:49:56.708.fits,EFOSC,2016-07-27T00:49:56.707,200.0017,SCIENCE,Free,r#784,Free
9,EFOSC.2016-07-27T00:53:56.218.fits,EFOSC,2016-07-27T00:53:56.218,200.0017,SCIENCE,Free,r#784,Free
10,EFOSC.2016-07-27T00:58:13.276.fits,EFOSC,2016-07-27T00:58:13.275,200.0017,SCIENCE,Free,i#705,Free
11,EFOSC.2016-07-27T01:02:13.326.fits,EFOSC,2016-07-27T01:02:13.326,200.0017,SCIENCE,Free,i#705,Free
12,EFOSC.2016-09-08T23:47:27.059.fits,EFOSC,2016-09-08T23:47:27.059,200.0013,SCIENCE,Free,g#782,Free
13,EFOSC.2016-09-08T23:51:27.010.fits,EFOSC,2016-09-08T23:51:27.010,200.0014,SCIENCE,Free,g#782,Free
14,EFOSC.2016-09-08T23:55:27.391.fits,EFOSC,2016-09-08T23:55:27.391,200.0016,SCIENCE,Free,g#782,Free
15,EFOSC.2016-09-08T23:59:42.027.fits,EFOSC,2016-09-08T23:59:42.027,200.0012,SCIENCE,Free,r#784,Free
16,EFOSC.2016-09-09T00:03:44.969.fits,EFOSC,2016-09-09T00:03:44.969,200.0016,SCIENCE,Free,r#784,Free
17,EFOSC.2016-09-09T00:07:45.089.fits,EFOSC,2016-09-09T00:07:45.089,200.0015,SCIENCE,Free,r#784,Free
18,EFOSC.2016-09-09T00:12:01.006.fits,EFOSC,2016-09-09T00:12:01.006,200.0011,SCIENCE,Free,i#705,Free
19,EFOSC.2016-09-09T00:16:01.567.fits,EFOSC,2016-09-09T00:16:01.567,200.0014,SCIENCE,Free,i#705,Free
20,EFOSC.2016-09-09T00:20:02.649.fits,EFOSC,2016-09-09T00:20:02.649,200.0012,SCIENCE,Free,i#705,Free
21,EFOSC.2016-09-18T23:22:08.719.fits,EFOSC,2016-09-18T23:22:08.719,200.0015,SCIENCE,Free,B#639,Free
22,EFOSC.2016-09-18T23:26:09.271.fits,EFOSC,2016-09-18T23:26:09.271,200.0016,SCIENCE,Free,B#639,Free
23,EFOSC.2016-09-18T23:30:09.752.fits,EFOSC,2016-09-18T23:30:09.752,200.0016,SCIENCE,Free,B#639,Free
24,EFOSC.2016-09-18T23:34:13.185.fits,EFOSC,2016-09-18T23:34:13.184,200.0017,SCIENCE,Free,B#639,Free
25,EFOSC.2016-09-18T23:38:13.737.fits,EFOSC,2016-09-18T23:38:13.737,200.0015,SCIENCE,Free,B#639,Free
26,EFOSC.2016-09-19T23:27:03.978.fits,EFOSC,2016-09-19T23:27:03.977,200.0014,SCIENCE,Free,V#641,Free
27,EFOSC.2016-09-19T23:31:04.370.fits,EFOSC,2016-09-19T23:31:04.369,200.0017,SCIENCE,Free,V#641,Free
28,EFOSC.2016-09-19T23:35:04.991.fits,EFOSC,2016-09-19T23:35:04.991,200.0015,SCIENCE,Free,V#641,Free
29,EFOSC.2017-01-27T05:25:30.350.fits,EFOSC,2017-01-27T05:25:30.350,200.0017,SCIENCE,Free,B#639,Free
30,EFOSC.2017-01-27T05:29:33.102.fits,EFOSC,2017-01-27T05:29:33.102,200.0017,SCIENCE,Free,B#639,Free
31,EFOSC.2017-01-27T05:33:33.694.fits,EFOSC,2017-01-27T05:33:33.694,200.0017,SCIENCE,Free,B#639,Free
32,EFOSC.2017-01-27T05:37:34.276.fits,EFOSC,2017-01-27T05:37:34.275,200.0017,SCIENCE,Free,B#639,Free
33,EFOSC.2017-01-27T05:41:34.876.fits,EFOSC,2017-01-27T05:41:34.875,200.0017,SCIENCE,Free,B#639,Free
34,EFOSC.2017-01-27T05:45:53.995.fits,EFOSC,2017-01-27T05:45:53.994,200.0017,SCIENCE,Free,g#782,Free
35,EFOSC.2017-01-27T05:49:59.418.fits,EFOSC,2017-01-27T05:49:59.417,200.0017,SCIENCE,Free,g#782,Free
36,EFOSC.2017-01-27T05:53:59.899.fits,EFOSC,2017-01-27T05:53:59.899,200.0017,SCIENCE,Free,g#782,Free
37,EFOSC.2017-01-27T05:58:17.418.fits,EFOSC,2017-01-27T05:58:17.417,200.0017,SCIENCE,Free,V#641,Free
38,EFOSC.2017-01-27T06:02:19.310.fits,EFOSC,2017-01-27T06:02:19.309,200.0017,SCIENCE,Free,V#641,Free
39,EFOSC.2017-01-27T06:06:18.311.fits,EFOSC,2017-01-27T06:06:18.310,200.0017,SCIENCE,Free,V#641,Free
40,EFOSC.2017-01-27T06:10:35.759.fits,EFOSC,2017-01-27T06:10:35.758,200.0017,SCIENCE,Free,R#642,Free
41,EFOSC.2017-01-27T06:14:37.661.fits,EFOSC,2017-01-27T06:14:37.660,200.0017,SCIENCE,Free,R#642,Free
42,EFOSC.2017-01-27T06:18:39.423.fits,EFOSC,2017-01-27T06:18:39.422,200.0017,SCIENCE,Free,R#642,Free
43,EFOSC.2017-01-27T06:22:57.941.fits,EFOSC,2017-01-27T06:22:57.940,200.0017,SCIENCE,Free,i#705,Free
44,EFOSC.2017-01-27T06:27:04.005.fits,EFOSC,2017-01-27T06:27:04.004,200.0017,SCIENCE,Free,i#705,Free
45,EFOSC.2017-01-27T06:31:06.677.fits,EFOSC,2017-01-27T06:31:06.676,200.0017,SCIENCE,Free,i#705,Free
46,EFOSC.2017-02-07T04:18:55.587.fits,EFOSC,2017-02-07T04:18:55.586,4.0017,SCIENCE,Free,B#639,Free
47,EFOSC.2017-02-07T04:19:42.454.fits,EFOSC,2017-02-07T04:19:42.454,3.0017,SCIENCE,Free,V#641,Free
48,EFOSC.2017-02-07T04:20:28.572.fits,EFOSC,2017-02-07T04:20:28.572,2.0017,SCIENCE,Free,R#642,Free
49,EFOSC.2017-02-07T04:21:14.760.fits,EFOSC,2017-02-07T04:21:14.759,2.0017,SCIENCE,Free,i#705,Free
50,EFOSC.2017-02-07T04:22:00.677.fits,EFOSC,2017-02-07T04:22:00.677,4.0017,SCIENCE,Free,g#782,Free
51,EFOSC.2017-02-07T06:44:37.722.fits,EFOSC,2017-02-07T06:44:37.722,200.0017,SCIENCE,Free,B#639,Free
52,EFOSC.2017-02-07T06:48:37.903.fits,EFOSC,2017-02-07T06:48:37.902,200.0017,SCIENCE,Free,B#639,Free
53,EFOSC.2017-02-07T06:52:37.514.fits,EFOSC,2017-02-07T06:52:37.513,200.0017,SCIENCE,Free,B#639,Free
54,EFOSC.2017-02-07T06:56:37.965.fits,EFOSC,2017-02-07T06:56:37.965,200.0017,SCIENCE,Free,B#639,Free
55,EFOSC.2017-02-07T07:00:38.486.fits,EFOSC,2017-02-07T07:00:38.486,200.0017,SCIENCE,Free,B#639,Free
56,EFOSC.2017-02-07T07:04:53.874.fits,EFOSC,2017-02-07T07:04:53.874,200.0017,SCIENCE,Free,g#782,Free
57,EFOSC.2017-02-07T07:08:53.545.fits,EFOSC,2017-02-07T07:08:53.545,200.0017,SCIENCE,Free,g#782,Free
58,EFOSC.2017-02-07T07:12:54.007.fits,EFOSC,2017-02-07T07:12:54.007,200.0016,SCIENCE,Free,g#782,Free
59,EFOSC.2017-02-07T07:17:09.434.fits,EFOSC,2017-02-07T07:17:09.434,200.0016,SCIENCE,Free,V#641,Free
60,EFOSC.2017-02-07T07:21:09.145.fits,EFOSC,2017-02-07T07:21:09.145,200.0016,SCIENCE,Free,V#641,Free
61,EFOSC.2017-02-07T07:25:09.186.fits,EFOSC,2017-02-07T07:25:09.186,200.0017,SCIENCE,Free,V#641,Free
62,EFOSC.2017-02-07T07:31:24.209.fits,EFOSC,2017-02-07T07:31:24.208,200.0012,SCIENCE,Free,R#642,Free
63,EFOSC.2017-02-07T07:35:23.910.fits,EFOSC,2017-02-07T07:35:23.910,200.0017,SCIENCE,Free,R#642,Free
64,EFOSC.2017-02-07T07:39:24.462.fits,EFOSC,2017-02-07T07:39:24.461,200.0011,SCIENCE,Free,R#642,Free
65,EFOSC.2017-02-07T07:43:40.629.fits,EFOSC,2017-02-07T07:43:40.628,200.0012,SCIENCE,Free,i#705,Free
66,EFOSC.2017-02-07T07:47:41.480.fits,EFOSC,2017-02-07T07:47:41.480,200.001,SCIENCE,Free,i#705,Free
