,ARCFILE,INSTRUME,DATE-OBS,EXPTIME,HIERARCH ESO DPR CATG,HIERARCH ESO INS SLIT1 NAME,HIERARCH ESO INS FILT1 NAME,HIERARCH ESO INS GRIS1 NAME
0,EFOSC.2016-02-24T03:42:04.477.fits,EFOSC,2016-02-24T03:42:04.476,100.0,SCIENCE,slit#1.0,Free,Gr#13
1,EFOSC.2016-02-24T04:32:03.365.fits,EFOSC,2016-02-24T04:32:03.364,899.9984,SCIENCE,slit#1.0,Free,Gr#13
2,EFOSC.2016-03-09T07:40:48.112.fits,EFOSC,2016-03-09T07:40:48.112,2000.0057,SCIENCE,slit#1.0,Free,Gr#11
3,EFOSC.2016-03-09T08:21:19.623.fits,EFOSC,2016-03-09T08:21:19.623,2000.0181,SCIENCE,slit#1.0,OG530,Gr#16
4,EFOSC.2016-03-09T09:59:34.295.fits,EFOSC,2016-03-09T09:59:34.294,60.0181,SCIENCE,slit#1.0,Free,Gr#11
5,EFOSC.2016-03-09T10:01:23.416.fits,EFOSC,2016-03-09T10:01:23.415,59.9963,SCIENCE,slit#1.0,OG530,Gr#16
6,EFOSC.2016-04-13T00:45:57.450.fits,EFOSC,2016-04-13T00:45:57.450,100.0017,SCIENCE,slit#1.5,Free,Gr#11
7,EFOSC.2016-04-13T00:48:26.016.fits,EFOSC,2016-04-13T00:48:26.016,100.0017,SCIENCE,slit#1.5,OG530,Gr#16
8,EFOSC.2016-04-13T01:01:27.243.fits,EFOSC,2016-04-13T01:01:27.242,1800.0017,SCIENCE,slit#1.5,Free,Gr#11
9,EFOSC.2016-04-13T01:35:53.265.fits,EFOSC,2016-04-13T01:35:53.264,1800.0017,SCIENCE,slit#1.5,OG530,Gr#16
10,EFOSC.2016-07-25T23:24:31.570.fits,EFOSC,2016-07-25T23:24:31.569,60.0017,SCIENCE,slit#1.0,Free,Gr#11
11,EFOSC.2016-07-25T23:26:23.652.fits,EFOSC,2016-07-25T23:26:23.652,60.0016,SCIENCE,slit#1.0,OG530,Gr#16
12,EFOSC.2016-07-25T23:28:14.203.fits,EFOSC,2016-07-25T23:28:14.203,60.0017,SCIENCE,slit#1.0,Free,Gr#13
13,EFOSC.2016-07-26T00:31:05.456.fits,EFOSC,2016-07-26T00:31:05.456,2700.0017,SCIENCE,slit#1.5,OG530,Gr#16
14,EFOSC.2016-07-26T01:31:27.003.fits,EFOSC,2016-07-26T01:31:27.002,2700.0017,SCIENCE,slit#1.5,OG530,Gr#16
15,EFOSC.2016-07-27T01:16:09.622.fits,EFOSC,2016-07-27T01:16:09.621,2700.0017,SCIENCE,slit#1.0,Free,Gr#11
16,EFOSC.2016-07-27T02:10:22.574.fits,EFOSC,2016-07-27T02:10:22.574,2561.043,SCIENCE,slit#1.0,Free,Gr#11
17,EFOSC.2016-07-27T07:36:12.347.fits,EFOSC,2016-07-27T07:36:12.347,60.0017,SCIENCE,slit#1.5,Free,Gr#11
18,EFOSC.2016-07-27T10:30:52.470.fits,EFOSC,2016-07-27T10:30:52.469,60.0028,SCIENCE,slit#1.0,Free,Gr#11
19,EFOSC.2016-07-27T10:38:13.389.fits,EFOSC,2016-07-27T10:38:13.388,60.0028,SCIENCE,slit#1.5,Free,Gr#11
20,EFOSC.2016-07-27T10:40:05.242.fits,EFOSC,2016-07-27T10:40:05.241,60.0028,SCIENCE,slit#1.5,OG530,Gr#16
21,EFOSC.2016-09-07T23:34:52.476.fits,EFOSC,2016-09-07T23:34:52.475,2700.0027,SCIENCE,slit#1.0,Free,Gr#13
22,EFOSC.2016-09-11T06:29:49.980.fits,EFOSC,2016-09-11T06:29:49.979,60.0028,SCIENCE,slit#1.0,Free,Gr#13
