,ARCFILE,INSTRUME,DATE-OBS,EXPTIME,HIERARCH ESO DPR CATG,HIERARCH ESO INS SLIT1 NAME,HIERARCH ESO INS FILT1 NAME,HIERARCH ESO INS GRIS1 NAME
0,EFOSC.2016-07-27T00:17:06.902.fits,EFOSC,2016-07-27T00:17:06.901,200.0017,SCIENCE,Free,B#639,Free
1,EFOSC.2016-07-27T00:21:07.523.fits,EFOSC,2016-07-27T00:21:07.522,200.0017,SCIENCE,Free,B#639,Free
2,EFOSC.2016-07-27T00:25:07.984.fits,EFOSC,2016-07-27T00:25:07.983,200.0017,SCIENCE,Free,B#639,Free
3,EFOSC.2016-07-27T00:29:08.975.fits,EFOSC,2016-07-27T00:29:08.974,200.0017,SCIENCE,Free,B#639,Free
4,EFOSC.2016-07-27T00:33:27.563.fits,EFOSC,2016-07-27T00:33:27.562,200.0029,SCIENCE,Free,V#641,Free
5,EFOSC.2016-07-27T00:37:26.893.fits,EFOSC,2016-07-27T00:37:26.893,200.0017,SCIENCE,Free,V#641,Free
6,EFOSC.2016-07-27T00:41:40.840.fits,EFOSC,2016-07-27T00:41:40.840,200.0017,SCIENCE,Free,g#782,Free
7,EFOSC.2016-07-27T00:45:41.091.fits,EFOSC,2016-07-27T00:45:41.090,200.0017,SCIENCE,Free,g#782,Free
8,EFOSC.2016-07-27T00:49:56.708.fits,EFOSC,2016-07-27T00:49:56.707,200.0017,SCIENCE,Free,r#784,Free
9,EFOSC.2016-07-27T00:53:56.218.fits,EFOSC,2016-07-27T00:53:56.218,200.0017,SCIENCE,Free,r#784,Free
10,EFOSC.2016-07-27T00:58:13.276.fits,EFOSC,2016-07-27T00:58:13.275,200.0017,SCIENCE,Free,i#705,Free
11,EFOSC.2016-07-27T01:02:13.326.fits,EFOSC,2016-07-27T01:02:13.326,200.0017,SCIENCE,Free,i#705,Free
