,ARCFILE,INSTRUME,DATE-OBS,EXPTIME,HIERARCH ESO DPR CATG,HIERARCH ESO INS SLIT1 NAME,HIERARCH ESO INS FILT1 NAME,HIERARCH ESO INS GRIS1 NAME
0,EFOSC.2016-07-27T00_17_06.902.fits,EFOSC.2016-07-27T00:17:06.902.fits,EFOSC,2016-07-27T00:17:06.901,200.0017,SCIENCE,Free,B#639
1,EFOSC.2016-07-27T00_21_07.523.fits,EFOSC.2016-07-27T00:21:07.523.fits,EFOSC,2016-07-27T00:21:07.522,200.0017,SCIENCE,Free,B#639
2,EFOSC.2016-07-27T00_25_07.984.fits,EFOSC.2016-07-27T00:25:07.984.fits,EFOSC,2016-07-27T00:25:07.983,200.0017,SCIENCE,Free,B#639
3,EFOSC.2016-07-27T00_29_08.975.fits,EFOSC.2016-07-27T00:29:08.975.fits,EFOSC,2016-07-27T00:29:08.974,200.0017,SCIENCE,Free,B#639
4,EFOSC.2016-07-27T00_33_27.563.fits,EFOSC.2016-07-27T00:33:27.563.fits,EFOSC,2016-07-27T00:33:27.562,200.0029,SCIENCE,Free,V#641
5,EFOSC.2016-07-27T00_37_26.893.fits,EFOSC.2016-07-27T00:37:26.893.fits,EFOSC,2016-07-27T00:37:26.893,200.0017,SCIENCE,Free,V#641
6,EFOSC.2016-07-27T00_41_40.840.fits,EFOSC.2016-07-27T00:41:40.840.fits,EFOSC,2016-07-27T00:41:40.840,200.0017,SCIENCE,Free,g#782
7,EFOSC.2016-07-27T00_45_41.091.fits,EFOSC.2016-07-27T00:45:41.091.fits,EFOSC,2016-07-27T00:45:41.090,200.0017,SCIENCE,Free,g#782
8,EFOSC.2016-07-27T00_49_56.708.fits,EFOSC.2016-07-27T00:49:56.708.fits,EFOSC,2016-07-27T00:49:56.707,200.0017,SCIENCE,Free,r#784
9,EFOSC.2016-07-27T00_53_56.218.fits,EFOSC.2016-07-27T00:53:56.218.fits,EFOSC,2016-07-27T00:53:56.218,200.0017,SCIENCE,Free,r#784
10,EFOSC.2016-07-27T00_58_13.276.fits,EFOSC.2016-07-27T00:58:13.276.fits,EFOSC,2016-07-27T00:58:13.275,200.0017,SCIENCE,Free,i#705
11,EFOSC.2016-07-27T01_02_13.326.fits,EFOSC.2016-07-27T01:02:13.326.fits,EFOSC,2016-07-27T01:02:13.326,200.0017,SCIENCE,Free,i#705
12,EFOSC.2016-07-27T01_16_09.622.fits,EFOSC.2016-07-27T01:16:09.622.fits,EFOSC,2016-07-27T01:16:09.621,2700.0017,SCIENCE,slit#1.0,Free
13,EFOSC.2016-07-27T02_10_22.574.fits,EFOSC.2016-07-27T02:10:22.574.fits,EFOSC,2016-07-27T02:10:22.574,2561.043,SCIENCE,slit#1.0,Free
14,EFOSC.2016-07-27T10_30_52.470.fits,EFOSC.2016-07-27T10:30:52.470.fits,EFOSC,2016-07-27T10:30:52.469,60.0028,SCIENCE,slit#1.0,Free
15,EFOSC.2016-07-27T10_38_13.389.fits,EFOSC.2016-07-27T10:38:13.389.fits,EFOSC,2016-07-27T10:38:13.388,60.0028,SCIENCE,slit#1.5,Free
